,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-09-09,10000.0,10000.0,10000.0,10000.0,1204799530000,120479953,1526,10000.0,10000.0
1,2023-09-10,10000.0,10000.0,10000.0,10000.0,205617770000,20561777,986,10000.0,10000.0
2,2023-09-11,10000.0,10000.0,10000.0,10000.0,289021790000,28902179,1000,10000.0,10000.0
3,2023-09-12,10000.0,10000.0,10000.0,10000.0,542898630000,54289863,21123,10000.0,10000.0
4,2023-10-16,10050.0,10450.0,10000.0,10190.0,207081639150,20327001,1471,10000.0,10120.0
5,2023-10-17,10130.0,10200.0,10000.0,10090.0,61683081070,6112361,1002,10190.0,10020.0
6,2023-10-18,9990.0,10020.0,9870.0,9960.0,21696105030,2177251,409,10090.0,9980.0
7,2023-10-21,9900.0,10140.0,9900.0,10020.0,17599009720,1756576,501,9960.0,9930.0
8,2023-10-22,10020.0,10080.0,9920.0,9970.0,17441458060,1750171,372,10020.0,9930.0
9,2023-10-23,9960.0,10000.0,9900.0,9940.0,13797943480,1388605,284,9970.0,9930.0
10,2023-10-24,9930.0,9960.0,9780.0,9810.0,61932314780,6315199,330,9940.0,9820.0
11,2023-10-25,9840.0,9940.0,9820.0,9890.0,8940228930,904007,264,9810.0,9870.0
12,2023-10-28,9830.0,9850.0,9500.0,9660.0,64197828760,6644191,298,9890.0,9580.0
13,2023-10-29,9630.0,9840.0,9630.0,9720.0,8407051650,864644,222,9660.0,9740.0
14,2023-10-30,9750.0,10090.0,9750.0,9920.0,31700225750,3195817,340,9720.0,9970.0
15,2023-10-31,9900.0,9970.0,9770.0,9860.0,12020744000,1218636,183,9920.0,9880.0
16,2023-11-01,9760.0,9840.0,9580.0,9710.0,4871187540,501702,191,9860.0,9780.0
17,2023-11-04,9970.0,10100.0,9910.0,10020.0,37051860980,3698660,382,9710.0,10070.0
18,2023-11-05,10050.0,10150.0,10000.0,10050.0,40294468350,4010533,336,10020.0,10010.0
19,2023-11-06,10030.0,10200.0,9990.0,10140.0,31078467550,3066092,343,10050.0,10170.0
20,2023-11-07,10170.0,10750.0,10170.0,10600.0,128134292190,12088983,884,10140.0,10600.0
21,2023-11-08,10600.0,10670.0,10370.0,10490.0,82003602350,7817690,409,10600.0,10400.0
22,2023-11-11,10420.0,10660.0,10350.0,10470.0,58868630710,5621628,313,10490.0,10440.0
23,2023-11-12,10460.0,10640.0,10400.0,10540.0,38798874960,3679605,326,10470.0,10610.0
24,2023-11-13,10610.0,10820.0,10600.0,10720.0,114409044960,10669021,430,10540.0,10670.0
25,2023-11-14,10660.0,10740.0,10530.0,10600.0,29476476090,2780326,239,10720.0,10540.0
26,2023-11-15,10550.0,10700.0,10490.0,10570.0,8766555870,829063,388,10600.0,10550.0
27,2023-11-18,10490.0,10700.0,10490.0,10600.0,23881206980,2251888,247,10570.0,10520.0
28,2023-11-19,10660.0,10770.0,10480.0,10650.0,45648335140,4286069,360,10600.0,10560.0
29,2023-11-20,10490.0,10520.0,10410.0,10480.0,59345260440,5665238,475,10650.0,10480.0
30,2023-11-21,10470.0,10580.0,10450.0,10520.0,101829211000,9683718,339,10480.0,10490.0
31,2023-11-22,10510.0,10590.0,10490.0,10550.0,41846045370,3964732,222,10520.0,10560.0
32,2023-11-25,10550.0,10630.0,10490.0,10580.0,70645269020,6676683,250,10550.0,10490.0
33,2023-11-26,10530.0,10610.0,10490.0,10580.0,16456779850,1554982,175,10580.0,10600.0
34,2023-11-27,10570.0,10640.0,10540.0,10590.0,14076336830,1329730,237,10580.0,10580.0
35,2023-11-28,10560.0,10800.0,10560.0,10690.0,73313976690,6861334,324,10590.0,10800.0
36,2023-11-29,10700.0,11180.0,10700.0,10900.0,203557772080,18681038,557,10690.0,10880.0
37,2023-12-02,10900.0,11190.0,10900.0,11050.0,76193940380,6893807,518,10900.0,11050.0
38,2023-12-03,11050.0,11340.0,10920.0,11190.0,137097401380,12249172,511,11050.0,11280.0
39,2023-12-04,11350.0,11590.0,11150.0,11370.0,58462131240,5143451,451,11190.0,11180.0
40,2023-12-05,11240.0,12230.0,11060.0,11810.0,424746536980,35952309,1542,11370.0,11730.0
41,2023-12-06,11780.0,11800.0,11510.0,11580.0,174596175040,15078133,537,11810.0,11550.0
42,2023-12-09,11320.0,11580.0,11140.0,11250.0,64242945700,5709337,330,11580.0,11140.0
43,2023-12-10,11110.0,11440.0,11110.0,11250.0,123995461580,11025706,395,11250.0,11250.0
44,2023-12-11,11250.0,11480.0,11190.0,11310.0,138419632470,12235854,786,11250.0,11320.0
45,2023-12-12,11380.0,11430.0,11150.0,11270.0,77036292040,6832982,557,11310.0,11170.0
46,2023-12-13,11200.0,11200.0,11030.0,11090.0,33717408710,3039401,440,11270.0,11040.0
47,2023-12-16,11140.0,11310.0,11020.0,11170.0,66189289560,5925211,455,11090.0,11190.0
48,2023-12-18,11140.0,11640.0,11140.0,11420.0,206356241780,18073936,899,11170.0,11370.0
49,2023-12-19,11400.0,11480.0,11170.0,11370.0,73647315190,6477603,390,11420.0,11180.0
50,2023-12-20,11180.0,11370.0,11150.0,11220.0,34568083990,3082253,322,11370.0,11160.0
51,2023-12-23,11200.0,11400.0,11150.0,11280.0,72228770760,6403212,345,11220.0,11250.0
52,2023-12-24,11210.0,11250.0,11110.0,11140.0,50174248740,4504388,321,11280.0,11110.0
53,2023-12-25,11110.0,11200.0,11080.0,11130.0,31537241280,2834149,218,11140.0,11140.0
54,2023-12-26,11090.0,11090.0,10960.0,11010.0,71384986990,6482364,255,11130.0,11060.0
55,2023-12-27,10970.0,11200.0,10970.0,11120.0,35394526560,3183946,445,11010.0,11180.0
56,2023-12-30,11230.0,11250.0,11080.0,11140.0,48109622620,4320007,302,11120.0,11100.0
57,2023-12-31,11150.0,11210.0,11050.0,11140.0,148450899500,13324971,297,11140.0,11060.0
58,2024-01-01,11100.0,11110.0,10990.0,11040.0,13408987710,1214316,389,11140.0,11010.0
59,2024-01-02,11000.0,11070.0,10900.0,10990.0,9617516150,875037,219,11040.0,10960.0
60,2024-01-03,11060.0,11230.0,10960.0,11130.0,81771250200,7347307,468,10990.0,11050.0
61,2024-01-06,11020.0,11490.0,10900.0,11240.0,215249117800,19143490,1073,11130.0,11320.0
62,2024-01-07,11250.0,11320.0,10990.0,11140.0,61609010590,5530363,651,11240.0,11050.0
63,2024-01-08,11040.0,11120.0,10870.0,10920.0,311598459590,28536294,599,11140.0,10890.0
64,2024-01-09,10980.0,11100.0,10870.0,10990.0,72886229350,6630838,494,10920.0,11100.0
65,2024-01-10,11050.0,11230.0,10980.0,11080.0,202967992590,18323697,900,10990.0,11080.0
66,2024-01-13,11030.0,11310.0,10920.0,11170.0,121459126450,10875891,759,11080.0,11130.0
67,2024-01-14,11170.0,11360.0,11130.0,11220.0,60529031790,5395391,630,11170.0,11140.0
68,2024-01-15,11120.0,11180.0,11000.0,11070.0,37498177100,3386670,353,11220.0,11070.0
69,2024-01-16,10980.0,11110.0,10900.0,10960.0,28739703310,2622270,304,11070.0,11000.0
70,2024-01-17,10960.0,11050.0,10900.0,10970.0,17574256900,1602070,359,10960.0,10980.0
71,2024-01-20,10990.0,10990.0,10560.0,10900.0,106760063480,9798126,337,10970.0,10630.0
72,2024-01-21,10700.0,10700.0,10510.0,10570.0,36048676220,3409666,335,10900.0,10640.0
73,2024-01-22,10580.0,10730.0,10400.0,10570.0,21039701770,1989577,269,10570.0,10520.0
74,2024-01-23,10650.0,10650.0,10160.0,10260.0,161725489720,15758034,322,10570.0,10350.0
75,2024-01-24,10320.0,10550.0,10300.0,10480.0,62897928500,6002686,299,10260.0,10530.0
76,2024-01-27,10610.0,10660.0,10490.0,10570.0,12274492740,1160726,135,10480.0,10630.0
77,2024-01-28,10660.0,10880.0,10540.0,10750.0,50363951780,4686454,636,10570.0,10790.0
78,2024-01-29,10660.0,10700.0,10540.0,10620.0,20696605780,1948397,228,10750.0,10600.0
79,2024-01-30,10550.0,10550.0,10370.0,10460.0,22887612600,2188077,366,10620.0,10460.0
80,2024-01-31,10440.0,10540.0,10380.0,10480.0,23095327850,2202990,201,10460.0,10460.0
81,2024-02-03,10500.0,10760.0,10500.0,10650.0,27415951980,2575105,249,10480.0,10610.0
82,2024-02-04,10580.0,10610.0,10470.0,10540.0,29527771700,2802362,229,10650.0,10560.0
83,2024-02-05,10570.0,10600.0,10520.0,10560.0,7378422780,698450,89,10540.0,10520.0
84,2024-02-06,10520.0,10580.0,10470.0,10500.0,7709782140,734171,131,10560.0,10520.0
85,2024-02-07,10480.0,10560.0,10480.0,10510.0,11565834740,1100864,176,10500.0,10520.0
86,2024-02-10,10570.0,10570.0,10490.0,10510.0,48733588140,4638001,144,10510.0,10510.0
87,2024-02-12,10490.0,10490.0,10370.0,10450.0,22000442050,2106294,157,10510.0,10390.0
88,2024-02-13,10430.0,10460.0,10330.0,10400.0,4339273920,417226,104,10450.0,10380.0
89,2024-02-14,10360.0,10410.0,10220.0,10260.0,18590320000,1811123,265,10400.0,10250.0
90,2024-02-17,10240.0,10370.0,10140.0,10210.0,9023399280,883492,151,10260.0,10260.0
91,2024-02-18,10150.0,10350.0,10120.0,10250.0,9422495230,919433,142,10210.0,10350.0
92,2024-02-19,10220.0,10450.0,10200.0,10320.0,10841116160,1050914,178,10250.0,10250.0
93,2024-02-20,10350.0,10350.0,10190.0,10220.0,4820477540,471527,108,10320.0,10220.0
94,2024-02-21,10240.0,10330.0,10220.0,10280.0,10198869800,991640,114,10220.0,10270.0
95,2024-02-24,10280.0,10330.0,10170.0,10240.0,7240515230,707072,163,10280.0,10210.0
96,2024-02-26,10180.0,10230.0,9940.0,10060.0,19186323680,1906641,204,10240.0,9960.0
97,2024-02-27,9990.0,10130.0,9990.0,10030.0,3899923960,388663,115,10060.0,10050.0
98,2024-02-28,10120.0,10240.0,10040.0,10150.0,5028768590,495502,114,10030.0,10040.0
99,2024-03-02,10080.0,11160.0,10060.0,10740.0,342734014720,31897439,1142,10150.0,11160.0
100,2024-03-03,11220.0,11810.0,11200.0,11580.0,428426499730,37012093,1912,10740.0,11370.0
101,2024-03-04,11030.0,11980.0,10920.0,11360.0,300982092320,26490924,2190,11580.0,11030.0
102,2024-03-05,10990.0,11830.0,10990.0,11440.0,205734177170,17975963,1426,11360.0,11240.0
103,2024-03-06,11200.0,11300.0,11010.0,11100.0,60707313360,5470290,1187,11440.0,11080.0
104,2024-03-09,11110.0,11190.0,10840.0,10920.0,91805697700,8406105,654,11100.0,10840.0
105,2024-03-10,11070.0,11360.0,10910.0,11160.0,169439314020,15178345,823,10920.0,11000.0
106,2024-03-11,11010.0,11770.0,11010.0,11540.0,292116283110,25322025,1353,11160.0,11620.0
107,2024-03-12,11600.0,11750.0,11080.0,11380.0,139024225350,12213158,1296,11540.0,11080.0
108,2024-03-13,11030.0,11300.0,10930.0,11250.0,383324611410,34067423,721,11380.0,11000.0
109,2024-03-16,11000.0,11190.0,10860.0,10980.0,42005546530,3823960,477,11250.0,10890.0
